"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"132","Jakob Marsee",MIA,"OF29","96","149","133.1","10.3","+1"
"133","Michael King",SD,"SP41","90","163","134.9","14.6","+1"
"134","Trevor Rogers",BAL,"SP42","106","187","135.0","15.6","+23"
"135","Nick Lodolo",CIN,"SP43","117","147","135.1","6.6","+5"
"136","Zack Wheeler",PHI,"SP44","91","221","135.3","28.8","-21"
"137","Gavin Williams",CLE,"SP45","120","179","136.8","6.4","+12"
"138","Taylor Ward",BAL,"OF30","112","246","138.4","20.5","-1"
"139","Matt Chapman",SF,"3B7","119","203","139.5","21.3","+42"
"140","Ryan Pepiot",TB,"SP46","109","201","140.4","11.0","+20"
"141","Emmet Sheehan",LAD,"SP47","94","210","140.6","18.5","+9"
"142","Luis Robert Jr.",NYM,"OF31","107","155","141.1","10.4","+4"
"143","Chase Burns",CIN,"SP,RP1","94","193","141.3","24.1","-21"
"144","Jackson Holliday",BAL,"2B10","116","187","141.9","10.7","-15"
"145","Ceddanne Rafaela",BOS,"OF32","118","195","145.0","12.0","+10"
"146","Devin Williams",NYM,"RP9","51","232","145.6","41.4","-64"
"147","Ranger Suarez",BOS,"SP48","111","191","146.3","15.5","+33"
"148","Bubba Chandler",PIT,"SP49","109","168","146.4","6.7","+26"
"149","Jacob Wilson",ATH,"SS15","96","172","146.5","20.2","+21"
"150","Steven Kwan",CLE,"OF33","123","207","150.4","15.8","+11"
"151","Ian Happ",CHC,"OF34","105","240","152.0","20.0","+11"
"152","Raisel Iglesias",ATL,"RP10","75","221","152.9","32.4","-46"
"153","Jurickson Profar",ATL,"OF35","110","214","153.1","13.3","+20"
"154","Willson Contreras",BOS,"1B14","71","210","156.6","27.6","+24"
"155","Tanner Bibee",CLE,"SP50","121","200","158.5","16.1","+30"
"156","Dansby Swanson",CHC,"SS16","122","191","158.6","15.5","+7"
"157","MacKenzie Gore",WSH,"SP51","124","214","158.9","21.3","+39"
"158","Brandon Lowe",PIT,"2B11","119","248","159.3","14.8","+17"
"159","Shota Imanaga",CHC,"SP52","115","214","159.6","21.3","+7"
"160","Noelvi Marte",CIN,"3B8","127","202","160.8","20.2","-9"
"161","Spencer Torkelson",DET,"1B15","125","197","161.1","14.1","+26"
"162","Carlos Rodon",NYY,"SP53","134","215","162.8","14.3","+7"
"163","Carlos Estevez",KC,"RP11","111","215","163.8","21.7","-71"
"164","Xavier Edwards",MIA,"SS17","141","192","164.8","11.2","+24"
"165","Bryan Reynolds",PIT,"OF36","136","249","165.0","21.2","+33"
"166","Chandler Simpson",TB,"OF37","120","210","166.5","17.3","-7"
"167","Adley Rutschman",BAL,"C9","134","276","168.5","14.8","-20"
"168","Ivan Herrera",STL,"C10","144","196","171.3","10.1","-24"
"169","Cade Horton",CHC,"SP54","110","199","173.9","12.7","+17"
"170","Drew Rasmussen",TB,"SP55","145","198","174.5","9.8","-3"
"171","Yainer Diaz",HOU,"C11","102","206","175.1","10.4","-52"
"172","Jonathan Aranda",TB,"1B16","141","229","175.3","10.0","-1"
"173","Jack Flaherty",DET,"SP56","150","250","175.9","24.7","+62"
"174","Christian Walker",HOU,"1B17","129","242","176.6","29.2","+3"
"175","Dylan Crews",WSH,"OF38","150","297","177.9","16.8","+14"
"176","Trevor Megill",MIL,"RP12","135","231","179.0","21.5","-59"
"177","Ryan Helsley",BAL,"RP13","96","286","179.5","51.5","-61"
"178","Edward Cabrera",CHC,"SP57","140","202","179.5","13.0","+19"
"179","Brenton Doyle",COL,"OF39","126","236","180.8","18.7","+14"
"180","Isaac Paredes",HOU,"3B9","102","226","181.1","16.0","+11"
"181","Jeff Hoffman",TOR,"RP14","107","230","181.3","25.1","-53"
"182","Colson Montgomery",CWS,"SS18","155","234","182.4","15.8","-10"
"183","Matthew Boyd",CHC,"SP58","140","250","184.1","14.4","+23"
"184","Aaron Nola",PHI,"SP59","157","256","184.4","16.9","+44"
"185","Marcus Semien",NYM,"2B12","175","252","186.8","9.7","+33"
"186","Pete Fairbanks",MIA,"RP15","105","241","187.4","15.1","-41"
"187","Royce Lewis",MIN,"3B10","173","262","190.5","10.9","+14"
"188","Merrill Kelly",ARI,"SP60","169","253","191.1","13.5","+28"
"189","Alec Burleson",STL,"OF40","128","275","191.6","35.0","-6"
"190","Andrew Abbott",CIN,"SP61","166","249","191.6","12.3","+18"
"191","Emilio Pagan",CIN,"RP16","127","285","192.3","35.1","-48"
"192","Zac Gallen",FA,"SP62","154","402","193.5","33.4","+27"
"193","Mike Trout",LAA,"OF41","149","291","193.6","20.1","-14"
"194","Tatsuya Imai",HOU,"SP63","143","233","194.0","27.4","-36"
"195","Ezequiel Tovar",COL,"SS19","159","276","196.6","33.9","+48"
"196","Shane Baz",BAL,"SP64","152","240","197.3","16.5","+19"
"197","Kenley Jansen",DET,"RP17","139","247","200.0","21.0","-58"
"198","Jasson Dominguez",NYY,"OF42","139","237","200.1","10.8","+11"
"199","Shane McClanahan",TB,"SP65","184","247","202.3","13.1","+26"
"200","Alejandro Kirk",TOR,"C12","159","287","203.5","13.5","-35"
"201","Addison Barger",TOR,"3B11","150","263","203.6","22.0","-9"
"202","Heliot Ramos",SF,"OF43","177","283","204.5","14.8","+30"
"203","Luis Garcia",WSH,"2B13","122","254","206.8","9.0","+59"
"204","Connelly Early",BOS,"SP66","146","244","207.8","23.1","+19"
"205","Gleyber Torres",DET,"2B14","174","263","209.9","14.6","+29"
"206","Kerry Carpenter",DET,"OF44","161","236","210.6","12.1","+20"
"207","Jorge Polanco",NYM,"2B15","129","273","213.9","37.9","+10"
"208","Dennis Santana",PIT,"RP18","187","255","214.4","18.3","-32"
"209","Wilyer Abreu",BOS,"OF45","183","279","214.6","11.4","+32"
"210","Kyle Manzardo",CLE,"1B18","167","246","217.3","16.4","+35"
"211","Daniel Palencia",CHC,"RP19","159","253","217.5","17.4","-58"
"212","Daulton Varsho",TOR,"OF46","180","249","218.5","18.2","-5"
"213","Matt McLain",CIN,"2B16","163","267","219.1","19.6","+16"
"214","Anthony Santander",TOR,"OF47","182","256","219.1","14.3","-4"
"215","Masyn Winn",STL,"SS20","173","293","219.8","38.4","+74"
"216","Mark Vientos",NYM,"3B12","132","286","221.3","30.1","+4"
"217","Daylen Lile",WSH,"OF48","204","259","221.5","17.7","-22"
"218","Samuel Basallo",BAL,"C13","163","304","222.6","21.6","-36"
"219","Bryson Stott",PHI,"2B17","187","280","223.3","29.4","-20"
"220","Kris Bubic",KC,"SP67","146","251","224.6","28.3","-18"
"221","Munetaka Murakami",CWS,"1B19","165","263","226.5","26.8","-21"
"222","Kyle Teel",CWS,"C14","172","266","227.4","17.4","-38"
"223","Bryce Miller",SEA,"SP68","113","274","227.8","25.0","+40"
"224","Sal Frelick",MIL,"OF49","208","257","228.5","12.3","-20"
"225","Ryne Nelson",ARI,"SP,RP2","205","295","231.6","6.5","+47"
"226","Roki Sasaki",LAD,"SP69","133","290","232.6","30.1","+12"
"227","Andrew Vaughn",MIL,"1B20","155","281","235.0","16.1","+83"
"228","Ryan Walker",SF,"RP20","180","261","236.3","22.2","-23"
"229","Trent Grisham",NYY,"OF50","166","272","236.5","12.9","-16"
"230","Gabriel Moreno",ARI,"C15","171","275","237.6","24.3","-40"
"231","Sal Stewart",CIN,"1B21","188","281","238.5","14.4","-9"
"232","Jac Caglianone",KC,"1B22","151","255","239.6","13.5","+5"
"233","Spencer Steer",CIN,"1B23","191","295","240.8","26.7","-6"
"234","Alec Bohm",PHI,"3B13","213","294","241.0","23.6","+27"
"235","Ramon Laureano",SD,"OF51","184","276","242.0","28.0","-11"
"236","Brendan Donovan",STL,"2B18","219","283","242.1","15.8","+31"
"237","Joe Musgrove",SD,"SP70","194","368","249.5","46.5","+21"
"238","Xander Bogaerts",SD,"SS21","182","278","242.6","19.8","+2"
"239","Hurston Waldrep",ATL,"SP71","141","290","244.0","28.5","+35"
"240","Noah Cameron",KC,"SP72","190","273","245.3","19.4","+9"
"241","David Peterson",NYM,"SP73","164","221","206.6","11.6","+50"
"242","Matt Shaw",CHC,"3B14","166","356","251.3","48.0","-12"
"243","Quinn Priester",MIL,"SP,RP3","201","259","237.1","17.3","+16"
"244","Abner Uribe",MIL,"RP21","151","288","246.4","22.7","-76"
"245","Jose Soriano",LAA,"SP74","181","225","211.2","9.5","+118"
"246","Adolis Garcia",PHI,"OF52","222","266","248.9","10.4","+1"
"247","Casey Mize",DET,"SP75","185","286","241.0","22.4","+34"
"248","Luis Arraez",FA,"2B19","163","373","257.8","50.1","-4"
"249","Kazuma Okamoto",TOR,"3B15","175","299","241.4","43.6","-7"
"250","TJ Friedl",CIN,"OF53","192","297","251.8","20.5","+4"
"251","Francisco Alvarez",NYM,"C16","188","286","251.9","26.4","-57"
"252","Gerrit Cole",NYY,"SP76","195","296","252.4","38.3","-16"
"253","Robert Suarez",ATL,"RP22","195","291","235.3","29.0","-130"
"254","Jordan Beck",COL,"OF54","215","287","254.5","16.6","-3"
"255","Otto Lopez",MIA,"2B20","165","297","256.1","25.2","-24"
"256","Yusei Kikuchi",LAA,"SP77","183","237","229.8","9.3","+96"
"257","Nolan Schanuel",LAA,"1B24","232","296","254.4","19.5","+51"
"258","Konnor Griffin",PIT,"SS22","144","289","262.0","24.8","-25"
"259","Carlos Correa",HOU,"SS23","219","299","262.1","22.3","+5"
"260","Max Muncy",LAD,"3B16","146","289","262.5","26.1","-14"
"261","Brett Baty",NYM,"3B17","186","307","263.8","30.2","+12"
"262","Parker Messick",CLE,"SP78","224","296","249.2","25.8","+15"
"263","Mitch Keller",PIT,"SP79","198","249","237.4","7.2","+92"
"264","Brandon Pfaadt",ARI,"SP80","209","253","237.6","11.5","+131"
"265","Clay Holmes",NYM,"SP81","194","280","240.6","29.9","+32"
"266","Griffin Jax",TB,"RP23","217","287","261.0","14.9","-11"
"267","Josh Lowe",LAA,"OF55","241","296","267.8","19.6","+16"
"268","Mickey Moniak",COL,"OF56","243","303","267.8","12.1","-29"
"269","Brayan Bello",BOS,"SP82","176","276","243.0","35.1","+55"
"270","Carter Jensen",KC,"C17","189","293","262.1","30.2","-59"
"271","Edwin Uceta",TB,"RP24","210","300","254.2","32.8","-1"
"272","Dillon Dingler",DET,"C18","217","282","264.9","9.1","-24"
"273","Jake Burger",TEX,"1B25","238","300","270.8","21.6","+21"
"274","Bryce Eldridge",SF,"1B26","201","277","249.4","26.1","+97"
"275","Shane Smith",CWS,"SP83","160","282","267.4","14.0","-6"
"276","Colton Cowser",BAL,"OF57","222","293","274.0","8.9","-8"
"277","Sean Manaea",NYM,"SP,RP4","228","298","275.0","12.1","+55"
"278","Jack Leiter",TEX,"SP84","233","281","264.2","17.0","-18"
"279","Marcell Ozuna",FA,"DH3","228","285","278.1","5.2","+41"
"280","Grayson Rodriguez",LAA,"SP85","177","298","268.3","26.9","+25"
"281","Jose Caballero",NYY,"2B21","178","295","268.3","25.8","-78"
"282","Caleb Durbin",MIL,"2B22","223","293","279.0","12.6","-32"
"283","Chris Bassitt",FA,"SP86","247","271","261.4","8.2","+113"
"284","Joey Cantillo",CLE,"SP,RP5","197","296","250.5","40.2","+23"
"285","Reese Olson",DET,"SP87","209","295","280.3","12.5","+5"
"286","Chase DeLauter",CLE,"OF58","233","305","276.1","24.6","+18"
"287","Kevin McGonigle",DET,"SS24","182","308","271.7","32.1","-16"
"288","Logan Henderson",MIL,"SP88","233","367","281.3","45.1","-10"
"289","Giancarlo Stanton",NYY,"RF1","205","310","254.5","42.0","-68"
"290","Colt Keith",DET,"2B23","244","309","266.4","23.1","+27"
"291","Tommy Edman",LAD,"2B24","218","303","284.1","11.8","+12"
"292","J.T. Realmuto",PHI,"C19","211","371","289.3","35.2","-80"
"293","Michael Wacha",KC,"SP89","225","305","276.7","13.1","+65"
"294","Ryan Weathers",NYY,"SP90","216","296","260.5","31.3","+50"
"295","Bryan Abreu",HOU,"RP25","218","321","274.0","39.5","-43"
"296","Nick Castellanos",PHI,"OF59","229","306","278.3","16.0","+35"
"297","Reid Detmers",LAA,"RP26","260","318","280.0","20.4","+64"
"298","Brady Singer",CIN,"SP91","224","299","279.7","13.2","-23"
"299","Kodai Senga",NYM,"SP92","198","299","274.8","20.2","+3"
"300","Jonah Tong",NYM,"SP93","237","284","266.3","17.6","+49"
"301","Austin Wells",NYY,"C20","228","286","255.0","23.9","-87"
"302","Andres Gimenez",TOR,"2B25","267","316","283.5","18.4","+14"
"303","Lenyn Sosa",CWS,"2B26","203","317","271.8","43.6","-18"
"304","Tyler Mahle",SF,"SP94","214","282","257.3","30.7","+9"
"305","Cam Smith",HOU,"RF2","221","310","258.7","37.6","+30"
"306","Brooks Lee",MIN,"SS25","209","305","272.3","38.1","+35"
"307","Grant Taylor",CWS,"RP27","221","322","287.5","20.2","+27"
"308","Cade Cavalli",WSH,"SP95","222","300","264.3","32.2","+76"
"309","Luis Severino",ATH,"SP96","252","311","283.2","22.5","+140"
"310","Zach Eflin",BAL,"SP97","274","333","291.7","19.1","+137"
"311","Jeff McNeil",ATH,"2B27","255","330","287.6","25.4","+92"
"312","Will Warren",NYY,"SP98","228","338","285.5","39.0","+21"
"313","Josh Bell",MIN,"1B27","271","295","285.2","8.8","+67"
"314","Owen Caissie",MIA,"OF60","228","332","277.3","42.6","+110"
"315","Will Vest",DET,"RP28","271","285","280.0","5.5","-36"
"316","Cedric Mullins II",TB,"OF61","250","324","284.0","28.4","+2"
"317","Anthony Volpe",NYY,"SS26","267","319","292.0","18.7","+28"
"318","Jung Hoo Lee",SF,"OF62","242","312","291.2","12.8","-26"
"319","Sean Murphy",ATL,"C21","252","352","286.3","46.5","+20"
"320","Tanner Scott",LAD,"RP29","258","298","273.3","17.6","+6"
"321","Logan O'Hoppe",LAA,"C22","262","320","285.3","22.8","-68"
"322","Ian Seymour",TB,"SP,RP6","263","302","283.0","14.3","+6"
"323","Marcelo Mayer",BOS,"2B28","243","276","259.5","16.5","+59"
"324","JJ Wetherholt",STL,"SS27","162","307","290.4","13.5","-68"
"325","Justin Crawford",PHI,"OF63","231","369","297.7","56.4","-27"
"326","Kirby Yates",LAA,"RP30","259","347","290.3","40.1","+148"
"327","Jake Mangum",PIT,"OF64","216","357","296.0","59.1","+32"
"328","Braxton Ashcraft",PIT,"SP,RP7","252","358","295.0","45.5","+10"
"329","Chad Patrick",MIL,"SP99","223","343","283.0","60.0","+44"
"330","Reynaldo Lopez",ATL,"SP100","226","329","288.0","44.6","+70"
"331","Isaac Collins",KC,"LF1","238","238","238.0","0.0","+25"
"332","Zebby Matthews",MIN,"SP101","267","344","297.3","33.5","-3"
"333","Justin Steele",CHC,"SP102","239","353","296.0","57.0","+57"
"334","Jameson Taillon",CHC,"SP103","256","314","295.0","23.5","-41"
"335","Jose Berrios",TOR,"SP104","277","336","300.8","25.1","+111"
"336","Ryan O'Hearn",PIT,"1B28","270","341","298.7","30.6","-71"
"337","J.P. Crawford",SEA,"SS28","272","314","295.0","15.0","+40"
"338","Miguel Vargas",CWS,"3B18","239","326","300.6","14.3","-37"
"339","Josh Jung",TEX,"3B19","269","337","298.0","28.6","-14"
"340","Riley O'Brien",STL,"RP31","273","351","303.0","34.3","-40"
"341","Jeffrey Springs",ATH,"SP105","278","335","297.7","26.4","+84"
"342","Carson Benge",NYM,"OF65","250","362","306.0","56.0","-47"
"343","Andrew Saalfrank",ARI,"RP32","251","251","251.0","0.0","-56"
"344","Eduardo Rodriguez",ARI,"SP106","283","323","300.8","13.6","+181"
"345","Jared Jones",PIT,"SP107","253","359","306.0","53.0","+91"
"346","Chase Meidroth",CWS,"3B20","261","334","300.3","30.1","+2"
"347","Brandon Marsh",PHI,"OF66","258","348","307.3","37.3","+17"
"348","Cody Ponce",TOR,"SP,RP8","268","300","284.0","16.0","-64"
"349","Spencer Horwitz",PIT,"1B29","284","328","301.5","16.2","+13"
"350","Jordan Lawlar",ARI,"3B21","260","377","318.5","58.5","-4"
"351","Cristian Javier",HOU,"SP108","261","360","310.5","49.5","+36"
"352","Jacob Lopez",ATH,"SP109","261","331","296.0","35.0","+37"
"353","Austin Hays",FA,"OF67","262","262","262.0","0.0","+35"
"354","Seth Lugo",KC,"SP110","281","340","306.0","22.6","-55"
"355","Parker Meadows",DET,"OF68","264","264","264.0","0.0","+50"
"356","Ernie Clement",TOR,"3B22","282","292","287.0","5.0","-76"
"357","Carson Kelly",CHC,"C23","266","266","266.0","0.0","-43"
"358","Jordan Leasure",CWS,"RP33","267","366","316.5","49.5","-101"
"359","Mike Burrows",HOU,"SP,RP9","268","365","316.5","48.5","-5"
"360","Luis Morales",ATH,"SP111","268","364","316.0","48.0","+56"
"361","Edgar Quero",CWS,"C24","268","354","311.0","43.0","-46"
"362","Jordan Walker",STL,"OF69","269","269","269.0","0.0","-11"
"363","Payton Tolle",BOS,"SP,RP10","278","301","289.5","11.5","+12"
"364","Jose A. Ferrer",SEA,"RP34","270","270","270.0","0.0","-4"
"365","Jhostynxon Garcia",PIT,"OF70","273","273","273.0","0.0","+184"
"366","Ha-Seong Kim",ATL,"SS29","289","311","298.0","9.4","-78"
"367","Evan Carter",TEX,"OF71","287","298","292.5","5.5","-46"
"368","Bailey Ober",MIN,"SP112","280","315","297.5","17.5","-46"
"369","Robby Snelling",MIA,"SP113","283","374","328.5","45.5","+9"
"370","Kyle Finnegan",DET,"RP35","284","372","328.0","44.0","-64"
"371","JoJo Romero",STL,"RP36","286","375","330.5","44.5","+51"
"372","Troy Melton",DET,"SP,RP11","287","363","325.0","38.0","-86"
"373","Dylan Beavers",BAL,"OF72","298","349","315.3","23.8","-61"
"374","Andrew Painter",PHI,"SP114","289","376","332.5","43.5","-5"
"375","Clayton Beeter",WSH,"RP37","290","290","290.0","0.0","+83"
"376","Lars Nootbaar",STL,"OF73","292","350","319.7","23.8","0"
"377","Tyler Stephenson",CIN,"C25","293","345","319.0","26.0","-111"
"378","Robert Garcia",TEX,"RP38","294","378","336.0","42.0","-69"
"379","Dominic Canzone",SEA,"OF74","297","297","297.0","0.0","-32"
"380","Colt Emerson",SEA,"SS30","299","380","339.5","40.5","+64"
"381","Jake Cronenworth",SD,"2B29","303","325","314.0","11.0","+30"
